course_id,semester,is_open
DAI3005,2026-1,1
SCS4002,2026-1,1
COM2005,2026-1,1
CSE3027,2026-1,1
CSE3038,2026-1,1
DAI4002,2026-1,1
ENE1004,2026-1,1
ENE4014,2026-1,1
ITE4052,2026-1,1
SCS3001,2026-1,1
VCC4002,2026-1,1
VCC2001,2026-1,1
CSE1017,2026-1,1
CSE3003,2026-1,1
CUL7133,2026-1,1
DEE4046,2026-1,1
CSE2010,2026-1,1
CSE4061,2026-1,1
CSE1007,2026-1,1
GEN0063,2026-1,1
CSE4048,2026-1,1
DAI3001,2026-1,1
DAI3004,2026-1,1
DAI3006,2026-1,1
DAI4003,2026-1,1
SCS4001,2026-1,1
DAI1002,2026-1,1
DAI2001,2026-1,1
DAI2002,2026-1,1
DAI2003,2026-1,1
DAI2006,2026-1,1
MAT3030,2026-1,1
MAT3034,2026-1,1
MAT3070,2026-1,1
MAT3073,2026-1,1
MAT4088,2026-1,1
MAT4094,2026-1,1
GEN2052,2026-1,1
MAT1002,2026-1,1
MAT2003,2026-1,1
MAT2009,2026-1,1
MAT2027,2026-1,1
MAT4096,2026-1,1
VCC1001,2026-1,1
MAT3012,2026-1,1
INE4048,2026-1,1
MCT3003,2026-1,1
MCT3006,2026-1,1
CSE3026,2026-1,1
MMT3021,2026-1,1
MMT4009,2026-1,1
CSE2022,2026-1,1
MMT4014,2026-1,1
MMT3001,2026-1,1
MMT3007,2026-1,1
MMT3010,2026-1,1
MMT3018,2026-1,1
MMT4013,2026-1,1
MDT2001,2026-1,1
MDT3005,2026-1,1
MDT4001,2026-1,1
MDT4007,2026-1,1
INE3093,2026-1,1
MMT1002,2026-1,1
MMT4020,2026-1,1
MCT2005,2026-1,1
MDT2009,2026-1,1
MDT4013,2026-1,1
MMT2010,2026-1,1
CSE2018,2026-1,1
MMT2003,2026-1,1
